"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","45677","E2E Flow One","chromium","Tue Mar 10 17:57:21 IST 2026","broken","Tue Mar 10 17:58:06 IST 2026","","e2eflow1.spec.js","",""
"","34046","Miss","chromium","Tue Mar 10 17:57:21 IST 2026","failed","Tue Mar 10 17:57:55 IST 2026","","miss.spec.js","",""
"","40204","get started link","chromium","Tue Mar 10 17:57:49 IST 2026","broken","Tue Mar 10 17:58:29 IST 2026","","example.spec.js","",""
"","20442","UIBasicControls","chromium","Tue Mar 10 17:57:21 IST 2026","passed","Tue Mar 10 17:57:41 IST 2026","","UIBasicsOne.spec.js","",""
"","22654","@Web has title","chromium","Tue Mar 10 17:57:21 IST 2026","passed","Tue Mar 10 17:57:43 IST 2026","","example.spec.js","",""
"","45564","E2E Flow One","chromium","Tue Mar 10 17:57:21 IST 2026","broken","Tue Mar 10 17:58:06 IST 2026","","e2eflow1usingspecaillocators.spec.js","",""
"","51110","Browser Playwright Test","chromium","Tue Mar 10 17:57:21 IST 2026","broken","Tue Mar 10 17:58:12 IST 2026","","UIBasics.spec.js","",""
"","27829","Handling Child Windows","chromium","Tue Mar 10 17:57:52 IST 2026","passed","Tue Mar 10 17:58:20 IST 2026","","UIBasicsOne.spec.js","",""
"","21451","Incorrect Login Test","chromium","Tue Mar 10 17:57:21 IST 2026","passed","Tue Mar 10 17:57:42 IST 2026","","PracticeOne.spec.js","",""
"","1","Miss","chromium","Tue Mar 10 17:58:30 IST 2026","skipped","Tue Mar 10 17:58:30 IST 2026","","example.spec.js","",""
"","26652","Correct Login Test","chromium","Tue Mar 10 17:57:52 IST 2026","passed","Tue Mar 10 17:58:18 IST 2026","","PracticeOne.spec.js","",""
"","54781","Playwright Specail Locators","chromium","Tue Mar 10 17:57:21 IST 2026","passed","Tue Mar 10 17:58:15 IST 2026","","playwrightspecaillocator.spec.js","",""
